Query,Page,Language,Query in Labels,Query in text,All keywords in Labels,All keywords in text
Occupation of Japan,portal,pl,[],[],[],[Agent]
masa rodriguez,portal,es,[],[],[],[]
Abbreviation,portal,fr,[],[],[],[Agent]
Londonderry,portal,es,[Place],[Place],[Place],"[Agent, Place]"
health,portal,el,[],[],[Organization],"[Agent, Organization]"
Herbert Fritsche,newspapers,en,[],[],[],[]
Traditional outfits Germany,portal,en,[],[],[],[]
radio,portal,en,[],[],"[Agent, Organization]","[Agent, Organization]"
Great War Graz,portal,en,[],[],[],[]
Rafael Tegeo,portal,es,[],[],[],[Agent]
abwehrverein,portal,de,[],[],[],[]
on the origin of species,portal,en,[],[],[],[Agent]
valentin cespedes,portal,es,[],[],[],[]
adoption,portal,es,[],[],[],[Agent]
Achenheim,world-war-I,fr,[Place],[Place],[Place],[Place]
health,portal,el,[],[],[Organization],"[Agent, Organization]"
aisne,portal,fr,[Place],[Place],[Place],"[Agent, Place]"
El genio de Velazquez,portal,es,[],[],[],[]
de dakar,portal,fr,[],[],[],[Agent]
san juan de la ribera,portal,es,[],[],[],[]
Neoliberalismus und Katholische soziallehre,portal,pl,[],[],[],[]
aerograms,portal,en,[],[],[],[]
garnati,portal,es,[],[],[],[]
aktfotografie,portal,de,[],[],[],[Agent]
Alcea striata,portal,en,[],[],[],[]
john alston,portal,en,[],[],[],[]
affiches,portal,en,[],[],[],[Agent]
schwinkowski,portal,fr,[],[],[],[]
Melchor cano,portal,es,[],[],[],[]
abstract,portal,en,[],[],"[Concept, Agent]","[Concept, Agent]"
Alces,natural-history,fi,[],[],[],[Agent]
Deutschlands gerechte Grenzen von Adriaticus,portal,pl,[],[],[],[]
Abd,portal,fr,[],[],[Agent],[Agent]
Alberto Guglielmotti,portal,it,[],[],[],[]
agustin cue,portal,es,[],[],[],[]
adrien demont,portal,fr,[],[],[],[]
Liberty,portal,de,[],[],"[Agent, Organization, Place]","[Agent, Organization, Place]"
Estrela Degas,portal,pt,[],[],[],[]
ana de pombo,portal,ca,[],[],[],[Agent]
Dictionnaire de chimie,portal,es,[],[],[],[]
The handy royal atlas of modern geography,portal,pl,[],[],[],[]
Libro de la Monteria,portal,es,[],[],[],[]
albiolo,portal,it,[Place],[Place],[Place],[Place]
adam and the ants,portal,en,[],[],[],[Agent]
A cual tipo de carbon se le considera combustible fosil,portal,es,[],[],[],[]
language,portal,en,[],[],"[Agent, Organization]","[Agent, Organization]"
achille,portal,it,[],[],[Agent],[Agent]
Alarcon Herrero,portal,es,[],[],[],[]
adevarul,portal,en,[],[],[],[]
whole food,portal,en,[],[],[],[]
Tonkunstler Mahler,newspapers,en,[],[],[],[]
Albert Einstein and God,portal,hu,[],[],[],[]
cipriano mera,portal,es,[],[],[],[]
joseph roth,portal,fr,[],[],[],[]
biblioteca de la juventud,portal,es,[],[],[],[]
Nascita di Venere,art,en,[],[],[],[Agent]
jean denis janvier,portal,pt,[],[],[],[]
agostino masucci,portal,it,[Agent],[Agent],[Agent],[Agent]
al kalifa,photography,de,[],[],[],[]
Heinz Elmann,newspapers,en,[],[],[],[]
ad hypium,portal,en,[],[],[],[]
die kirchenbauten der Jesuiten,portal,de,[],[],[],[]
aderlass,portal,de,[],[],[],[]
abruzzo,portal,it,[Place],[Place],[Place],"[Agent, Place]"
adana,portal,en,[],[],[],[Agent]
a christmas carol,portal,en,[Concept],[Concept],[Concept],"[Concept, Agent]"
ait chichar,portal,en,[],[],[],[]
Alchemy,portal,it,[Concept],[Concept],"[Concept, Agent]","[Concept, Agent]"
A Guide to Patterns and Usage in English,portal,en,[],[],[],[]
hotel lux moscow,portal,en,[],[],[],[]
piri reis,portal,sv,[],[],[],[]
puig i cadafalch,portal,es,[],[],[],[]
Charles Plisnier,portal,fr,[],[],[],[]
bill of rights,portal,fr,[],[],[Agent],"[Concept, Agent]"
aconitum paniculatum,portal,it,[],[],[],[]
agram,portal,it,[Place],[Place],[Place],"[Agent, Place]"
Aachen,portal,de,[Place],[Place],"[Agent, Place]","[Agent, Place]"
aansprekersoproer,portal,nl,[],[],[],[]
Principes de la science de la Bourse,portal,en,[],[],[],[]
El libro de los juegos florales cervantistas y otras fiestas,portal,es,[],[],[],[]
agny,portal,fr,[Place],[Place],[Place],"[Agent, Place]"
Agostinho da Cruz,portal,pt,[],[],[],[]
ignacia martinez,portal,en,[],[],[],[]
adelqui,portal,es,[],[],[],[Agent]
saint mayeul,portal,en,[],[],[],[]
The politics of plenty,portal,pl,[],[],[],[]
aerial warfare,portal,en,[],[],[],[]
salvatierra de santiago,portal,es,[Place],[Place],[Place],[Place]
Fifth report from theselect Committee on estimates,portal,pl,[],[],[],[]
Africae illustratae libri decem,portal,nl,[],[],[],[]
achille varzi,portal,de,[],[],[],[]
Mary Cassatt,newspapers,en,[Agent],[Agent],[Agent],[Agent]
abschied,portal,de,[],[],[],[Agent]
alban berg lyrische,portal,de,[],[],[],[]
alberto lista epistolario,portal,es,[],[],[],[]
Nuremberg War Crime Trials,portal,en,[],[],[],[]
agde,portal,fr,[Place],[Place],[Place],[Place]
Adamsthal,portal,cs,[],[],[],[]
guerra de invierno,portal,en,[],[],[],[]
agathocles,portal,es,[],[],[],[]
universidad d eoviedo teatro,portal,es,[],[],[],[]
aifle tower,portal,en,[],[],[],[]
Adrien parvilliers,portal,en,[],[],[],[]
virgin mary,portal,en,[],[],[Organization],"[Agent, Organization]"
Histoire de la dialectique,portal,pl,[],[],[],[]
regola delli cinque,manuscripts,en,[],[],[],[Agent]
abdulhamid,portal,en,[],[],[Agent],[Agent]
veuves de guerre,world-war-I,fr,[],[],[],[]
jenny hasselquist,portal,sv,[],[],[],[]
gdpr,portal,en,[],[],[],[]
alcohol,portal,en,[],[],[Agent],[Agent]
aguas residuales,portal,en,[],[],[],[]
Aethiopus,portal,en,[],[],[],[]
virginis ROSAE,portal,en,[],[],[],[]
san juan de duero,portal,es,[],[],[],[]
aircraft,portal,en,[],[],[],[Agent]
Agostinho Dias Carneiro,portal,pt,[],[],[],[]
Alba,maps,en,[Place],[Place],"[Agent, Place]","[Agent, Place]"
a marina skilouras,portal,en,[],[],[],[]
djamila boupacha,portal,en,[],[],[],[]
sir walter scott,portal,en,[],[],[Agent],[Agent]
merza,portal,es,[],[],[],[]
Fritz Wenske,portal,pl,[],[],[],[]
la rambla cordoba,portal,es,[],[],[],[]
airplane,portal,sv,[],[],[],[Agent]
second world war,portal,ca,[],[],[],[Agent]
agustin espinosa,portal,es,[],[],[],[]
Adolf Hitler,photography,es,[Agent],[Agent],[Agent],[Agent]
aldershot,portal,en,[Place],[Place],[Place],"[Agent, Place]"
albano,portal,en,[Place],[Place],"[Agent, Place]","[Agent, Place]"
Portugal dans la monde,portal,pl,[],[],[],[]
agrigento,portal,pt,[Place],[Place],[Place],"[Agent, Place]"
africa orientale italiana,portal,it,[],[],[],[]
Alcora mamcerina,portal,ca,[],[],[],[]
richard wagner,art,ca,[Agent],[Agent],[Agent],[Agent]
sancta rosa,portal,en,[],[],[],[]
johann wilhelm ritter,portal,de,[],[],[],[]
adamello,portal,it,[],[],[],[]
Al Horezmi,portal,en,[],[],[],[]
tobias michael,portal,de,[],[],[],[]
hendrik jansen,portal,nl,[],[],[],[Agent]
african woman,portal,en,[],[],[],[Agent]
t kindt,portal,en,[],[],[],[]
Lire dans le Cri du Peuple,portal,en,[],[],[],[]
boda gitana,portal,fr,[],[],[],[]
A soldier with the arabs,portal,es,[],[],[],[]
A Monthly Review,portal,en,[],[],[],[]
vue d'arlon,portal,fr,[],[],[],[]
Deutsche Arbeit in Amerika,portal,pl,[],[],[],[]
der weltkrieg,portal,it,[],[],[],[]
refugee students,portal,fr,[],[],[],[]
agrell sundsvall,portal,sv,[],[],[],[]
Don Quijote de la Mancha en Sierra Morena,portal,es,[],[],[],[]
Gustav Mahler,portal,en,[Agent],[Agent],[Agent],[Agent]
act of law,portal,en,[],[],[],[]
BErlin Wall,portal,de,[],[],[],[Agent]
sobre la lengua argonesa,portal,es,[],[],[],[]
alain cuny,portal,en,[Agent],[Agent],[Agent],[Agent]
cour pemanente de justice internationale,portal,pl,[],[],[],[]
Aethiopis,portal,en,[],[],[],[]
hotel de l'union,portal,fr,[],[],[],[]
Karl von Hailbronner,portal,en,[],[],[],[]
Adressbuch Striegau,portal,pl,[],[],[],[]
Aalst,portal,en,[Place],[Place],"[Organization, Place]","[Agent, Organization, Place]"
Aerial,portal,no,[],[],[Concept],"[Concept, Agent]"
constructed language,portal,ro,[],[],[],[Agent]
Agricoltura,world-war-I,it,[Concept],[Concept],[Concept],"[Concept, Agent]"
Ada Wright of the Women's Social and Political Union,portal,en,[],[],[],[]
abstract landscapes,portal,en,[],[],[],[Agent]
afbeelding der justitie soo tot leyden,portal,nl,[],[],[],[]
actas cortes navarra,portal,es,[],[],[],[]
aerial warfare,portal,cs,[],[],[],[]
Adressbuch Posen,portal,de,[],[],[],[]
Alano di piave,world-war-I,it,[Place],[Place],[Place],[Place]
Agenda sive exequiale divinorum sacramentorum per venerabilem virum dominum,portal,lt,[],[],[],[]
abba,music,en,[],[],[Agent],[Agent]
albert espinosa,portal,es,[],[],[],[]
Alonso sanchez de alarcon,portal,es,[],[],[],[]
