Search term,Source language,to: cs,to: da,to: de,to: el,to: en,to: es,to: et,to: fi,to: fr,to: hu,to: it,to: lt,to: nl,to: pl,to: pt,to: ro,to: sv
Patria Giornale dell'idea liberale,it,﻿Giornate dell’ idea Liberální,﻿Hjemmellet dell'idea Liberal,﻿Heimginate dell’idea Liberal,﻿Home Giornate dell’grain Liberal,﻿Home Giornate dell’idea Liberal,﻿Casa Giornate dell’ided Liberal,﻿Kodillideel (liigist dell’idee liberal),﻿”Home Giornate dell’idea Liberal”,﻿Maison de Giornate dell’idée libérale,﻿A Liberális Párt eszméjének házai,,﻿Liberalus „dell’idea dell’idea dell’idea“,﻿HOME Giornaate dell’idea Liberal,﻿Giornata dell’idee Liberal,﻿Home Giornate dell’idea Liberal,﻿Dl Giornate dell’IDEA,﻿Homornate dell’ideal
francisco franco,es,﻿Francisco Franc,﻿Francisco francs,﻿Francisco Franc,﻿Φρανκ. φράγκο,﻿Francisco franc,,﻿Francisco frank,﻿Francisco frangi,﻿Francisco franc,﻿Francisco frank,﻿Francisco franco,﻿Francisco frankas,﻿Francisco Franc,﻿Frank,﻿Francisco franco,﻿Francul Francisco,﻿Francisco franc
ahnenprobe,cs,,﻿ahenprobat,﻿Naehamat,﻿αέναη επαγωγή,﻿ahenprobate,﻿ahenprobato,﻿aheentestament,﻿(ahenereto),﻿ahéprobate,﻿Ahenobservation,﻿ahenprobato,﻿oficialus patvirtinimas,﻿ahenproaat,﻿iahenprobat,﻿adiproato,﻿Aenzprobat,﻿ahenprorat
afisze,pl,﻿informační listy,﻿oplysningsblad,﻿Afiches,﻿δελτία,﻿afiches,﻿nafches,﻿teabelehed,﻿aihiot,﻿afches,﻿Afiak,﻿afiche,﻿Apeliai,﻿fiches,,﻿affenes,﻿Afișe,﻿Aficher
L'assassinat de Mickey Mouse de Pierre Pigot,fr,﻿Zavraždění Mickey Mouse...,﻿Mordet på Mickey Mouse...,﻿Ermordung von Mickey...,﻿Η δολοφονία του Mickey Mouse...,﻿The assassination of Mickey Mouse...,﻿El asesinato de Mickey Mouse...,﻿Mickey Mouse atentaat...,﻿Mickeis’in salamurha...,,﻿A Michey Mouse által elkövetett merénylet...,﻿L'omicidio di Mickey Mouse...,﻿Mickey Mouse nužudymas...,﻿De moord op Mickey Mouse...,﻿Zabójstwo Mickey Mause...,﻿O assassínio de Mickey Mund [...],﻿Asasinarea Mickey Mouse...,﻿Mordet på MiKey Miuse...
alaia,en,﻿alaia,﻿alaia,﻿Alaia,﻿alaia,,﻿ALaia,﻿Gaia spp.,﻿Aaia,﻿alaia,﻿alaia,﻿alaia,﻿alaia,﻿alaia,﻿alaia,﻿alaia,﻿alaia,﻿Alaia
Research,en,﻿Výzkum,﻿Forskning,﻿Forschung,﻿Έρευνα,,﻿Investigación,﻿Teadusuuringud,﻿Tutkimus,﻿Recherche,﻿Kutatás,﻿Ricerca,﻿Moksliniai tyrimai,﻿Onderzoek,﻿Badania naukowe,﻿Investigação,﻿Cercetare,﻿Forskning
calvin blanchard,en,﻿Calvin Blanchard,﻿Calvin Blanchard,﻿Calvin Blanchard,﻿Calvin Blanchard,,﻿Calvin Blanchard,﻿Calvin Blanchard,﻿Calvin Blanchard,﻿Calvin Blanchard,﻿Calvin Blanchard,﻿Calvin Blanchard,﻿Calvin Blanchard,﻿Calvin Blanchard,﻿Calvin Blanchard,﻿Calvin Blanchard,﻿Calvin Blanchard,﻿Calvin Blanchard
africa overo barbaria,ro,﻿Africa overa Barbaria...,﻿Afrika over en barbari...,﻿Afrika übera Barbaria...,﻿Αφρική πάνω από ένα Barbaria...,﻿Africa overa barbaria...,﻿África overa Barbaria...,﻿Africa talub Barbaaria...,﻿Afrikka barbaria...,﻿Afrique sura Barbaria...,﻿Africa barria Barbaria,﻿Ex Repubblica d'Africa: barbaria...,﻿Africa overa Barbaria...,﻿Afrika boven Barbaroia...,﻿Afryka nad Barbaria...,﻿África overa Barbaria...,,﻿Afrika som överskrider en barbari...
wiener kurier,de,﻿Wiener Kurier,﻿Wiener Kurier,,﻿Wiener Kurier,﻿Wiener Kurier,﻿Wiener Kurier,﻿Wiener Kurier,﻿Wiener Kurier,﻿service de messagerie viennois,﻿Wiener Kurier,﻿Wiener Kurier,﻿Wiener Kurier,﻿Kuier Kurier,﻿Wiener Kurier,﻿Wiener Kurier,﻿Wiener Kurier,﻿Wiener Kurier
santa lucia,it,﻿Santa lucia,﻿Santa lucia,﻿Santa Lucia,﻿Santa lucia,﻿Santa lucia,﻿Santa lucia,﻿Santa lucia,﻿Santa lucia,﻿Santa lucia,﻿Santa lucia,,﻿Santa lucia,﻿Santa lucia,﻿Santa lucia,﻿Santa lucia,﻿Santa lucia,﻿Santa lucia
St Mathurin,en,﻿St. Mathurin,﻿St Mathurin,﻿ST Mathurin,﻿St Mathurin,,﻿ST Mathuin,﻿Püha Materninan,﻿St Mathurin,﻿ST Maturin,﻿St. Maturalin,﻿ST Mathurin,﻿Sen Marthurinas,﻿St Mathurin,﻿St Mathurin,﻿ST Mathurin,﻿St MATHURIN,﻿St Mathurain
Actos de Cortes del Reyno de Aragon,es,﻿Zákony společnosti Cortes del Reyno z Aragonie,﻿Cortes del Reyno i Aragon,﻿Akte von Cortes del Reyno von Aragonien,﻿Cortes del Reyno της Αραγονίας,﻿Acts of Cortes del Reyno of Aragon,,﻿Aragóni Cortes del Reyno,﻿Säädökset Cortes del Reyno (Aragonian alue),﻿Actes des Cortes del Reyno d’Aragon,﻿Aragónia Cortes del Reyno cselekményei,﻿Atti del Cortes del Reyno of Aragona,﻿Aragono Cortes del Reynno veiksmai,﻿Handelingen van Cortes del Reyno van Aragon,﻿Akty Kortetes del Reyno w Aragonii,﻿Atos das Cortes del Reyno de Aragão,﻿Acte ale Cortes del Reyno de Aragon,﻿Aragons Cortes del Reyno
abechuco,es,﻿Bechuco,﻿abechuco,﻿Abechuco,﻿abechuco,﻿abechuco,,﻿„abecuco”,﻿abechuco,﻿Abechuco,﻿abechuco,﻿abechuco,﻿Bechuco,﻿afeucco,﻿abachuko,﻿abechuco,﻿Abechuco,﻿abechuco
Albert Renger,it,﻿Albert Renger,﻿Albert R,﻿Albert Renger,﻿Albert Renger,﻿Albert Renger,﻿Sr. Albert Renger,﻿Albert Rengger,﻿Albert Renge,﻿Albert Renger,﻿Albert Renger,,﻿Albert Roenger,﻿Albert Renger,﻿Albert Renger,﻿Albert Renger,﻿Albert Renger,﻿Albert Renger
agria,hu,﻿Agia,﻿Agria,﻿Agria,﻿Αγρία,﻿Agria,﻿Agria,﻿Agria,﻿Agria,﻿Agria,,﻿Agria,﻿Agria,﻿Agria,﻿W przypadku Agalria,﻿Agria,﻿Aga,﻿Agria
new york building,sv,﻿New York Building,﻿New York-bygning,﻿New Yorker Gebäude,﻿κτίριο της Νέας Υόρκης,﻿new York building,﻿New York building,﻿New Yorgi hoone,﻿New Yorkin rakennus,﻿bâtiment de New York,﻿New York épület,﻿edificio New York,﻿Niujorko pastatas,﻿New York gebouw,﻿budynek w Nowym Jorku,﻿edifício de Nova Iorque,﻿clădirea din New York,
actionnaire,en,﻿akcenaire,﻿actionnaire,﻿Maßnahme,﻿Actinaire,,﻿actionnaire,﻿meede,﻿toimi,﻿actionnaire,﻿actionnaire,﻿actionnaire,﻿idetionnaire,﻿actionaire,﻿actionaire,﻿ação,﻿acțiune,﻿actionnaire
adulthood,en,﻿dospělosti,﻿voksenlivet,﻿Erwachsenenalter,﻿η ενηλικίωση,,﻿edad adulta,﻿täiskasvanuiga,﻿aikuisuus,﻿âge adulte,﻿felnőttkor,﻿età adulta,﻿pilnametystė,﻿volwassenheid,﻿życie dorosłe,﻿idade adulta,﻿vârsta adultă,﻿vuxenlivet
acrobaat,fr,﻿Acrobaat,﻿acrobaat,﻿Acrobaat,﻿ακροβαat,﻿acrobaat,﻿acrobaat,﻿akrobaat,﻿akrobaaatti,,﻿akrobajat,﻿acrobaat,﻿akroleatas,﻿acrobaat,﻿akrobaat,﻿acrobaão,﻿acrobaat,﻿akrobaat
africa,en,﻿Afrika,﻿Afrika,﻿Afrika,﻿Αφρική,,﻿África,﻿Aafrika,﻿Afrikka,﻿Afrique,﻿Afrika,﻿Africa,﻿Afrika,﻿Afrika,﻿Afryka,﻿África,﻿Africa,﻿Afrika
alaska,en,﻿Aljaška,﻿Alaska,﻿Alaska,﻿Αλάσκα,,﻿Alaska,﻿Alaska,﻿Alaska,﻿Alaska,﻿Alaska,﻿Alaska,﻿Aliaska,﻿Alaska,﻿Alaska,﻿Alasca,﻿Alaska,﻿Alaska
acne,en,﻿akné,﻿acne,﻿Akne,﻿ακμή,,﻿acné,﻿akne,﻿akne,﻿acné,﻿akné,﻿acne,﻿aknė,﻿acne,﻿akne,﻿acne,﻿acne,﻿akne
Felix fernandez,es,﻿Felix FERNANDEZ,﻿Felix FERNANDEZ,﻿Felix FERNANDEZ,﻿Felix FERNANDEZ,﻿Felix FERNANDEZ,,﻿Felix FERNANDEZ,﻿Felix Fernandez,﻿Felix FERNANDEZ,﻿Felix FERANDEZ,﻿Felix FERNANDEZ,﻿Felix FERNANDEZ,﻿Felix FERNANDEZ,﻿Felix FERNANDEZ,﻿Felix FERNANDEZ,﻿Felix FERNANDEZ,﻿Felix Fernandez
la eliana,es,﻿EL Eliana,﻿El Eliana,﻿EL Eliana,﻿EL Eliana,﻿EL Eliana,,﻿EL Eliana,﻿EL Eliana,﻿EL Eliana,﻿El Elias,﻿EL Eliana,﻿EL Eliana,﻿EL Eliana,﻿EL Eliana,﻿EL Eliana,﻿El Eliana,﻿El Eliana
divisa,it,﻿měna,﻿valuta,﻿Währung,﻿νόμισμα,﻿currency,﻿moneda,﻿vääring,﻿valuutta,﻿monnaie,﻿pénznem,,﻿valiuta,﻿valuta,﻿waluta,﻿moeda,﻿moneda,﻿valuta
Rafael Tejeo,es,﻿Rafael Tejo,﻿Rafael Tejo,﻿Rafael Tejo,﻿Rafael Tejo,﻿Rafael Tejo,,﻿Rafael Tejo,﻿Rafael Tejo,﻿Rafael Tejo,﻿Rafael Tejo,﻿Rafael Tejo,﻿Rafael Tejo,﻿Rafael Tejo,﻿Rafael Tejo,﻿Rafael Tejo,﻿Rafael Tejo,﻿Rafael Tejo
Alava,es,﻿Álava,﻿Alava,﻿Alava,﻿Alava,﻿Alava,,﻿Álava,﻿Alava,﻿Alava,﻿Alava,﻿Lava,﻿Alava,﻿Alava,﻿Alava,﻿Alava,﻿Alava,﻿Alava
george muller,en,﻿pan George muller,﻿George muller,﻿Herrn George muller,﻿ο κ. George muller,,﻿George muller,﻿George muller,﻿George muller,﻿M. George muller,﻿George muller,﻿George Muller,﻿George Muller,﻿George muller,﻿George Muller,﻿George muler,﻿George muller,﻿George muller
ALBERT CAMUS,en,﻿ALBERT CAMUS,﻿ALBERT CAMUS,﻿ALBERT CAMEUS,﻿ALBERT CAMUS,,﻿ALBERT CAMUS,﻿ALBERT CAMUS,﻿ALBERT CAMUS,﻿ALBERT CAMUS,﻿ALBERT CAMUS,﻿ALBERT CAMUS,﻿ALBERT CAMUS,﻿ALBERT CAMUS,﻿ALBERT CAMUS,﻿ALBERT CAMUS,﻿ALBERT CAMUS,﻿ALBERT CAMUS
agia marina skillouras cyprus,en,﻿Nomencovité dovednosti (Agia marina),﻿Agia marina goalas cyprus,﻿Jachthäfen Jachthafen,"﻿Ιμάντες από δεξιές μαρίνες, Κυπρίδες",,﻿mentalidad marina de Agia,﻿Agia jahilisadam kui cypraus,﻿Agia marski-seuruurus syprius,﻿Agia marina skillouras cyprus,﻿Agia sportkikötő: skipprus,﻿Isa marina skillouras cyprus,﻿Agia marina goduuras ciprus,﻿Agia margaralouthopas cyprus,﻿Agia Marmarina Skills,﻿Agria marina competências como cipró,﻿portul Agia Skipsoas cicprus,﻿Agia småbåtsi kompetenser som cypern
Alcublas,es,﻿Alculas,﻿Alcublas,﻿Alcbllas,﻿Alcublas,﻿Alcublas,,﻿Alcublas,﻿Alcubls,﻿Alcublas,﻿Alcubas,﻿Alcublas,﻿Alcublas,﻿Alcublas,﻿Albolas,﻿Alcublas,﻿Alcublas,﻿Alcublas
boudet du max,fr,"﻿vetší, max.",﻿større end,﻿Budet an max.,﻿μεγαλύτερο από το μέγιστο,﻿greater of max,﻿mayor del máx.,﻿suurem kui max,﻿suurempi:,,﻿nagyobb (max.),﻿maggiore del max,﻿didesnė nei didžiausia,﻿groter dan max.,﻿większa z maks.,﻿superior do valor máximo,﻿mai mare din,﻿större än max
akinakes,en,﻿úplavky,﻿skælv,﻿akinakes,﻿ακάθρακας,,﻿akinakes,﻿aknise,﻿akventit,﻿akinakes,﻿rengések,﻿akinakes,﻿žemės drebėjimai,﻿akonjes,﻿akinkins,﻿akinakia,﻿produse contrafăcute,﻿akinskris
printmakers,en,﻿printři,﻿trykkeriere,﻿Printsechner,﻿τυπογράφοι,,﻿imprentas,﻿trükikojad,﻿monistajilla,﻿printmakers,﻿nyomdai készítkészítők,﻿stampatori per stampa,﻿Dygliaspaudė,﻿drukkerijen,﻿printanimatorzy,﻿aparelhos para impressão,﻿producători de tipografie,﻿tryckare
Ady Endre,hu,﻿Pan AY Endre,﻿Ady EnEndre,﻿Ady Endre,﻿Ady Endre,﻿Mr Ady Endre,﻿Sr. Ady Endre,﻿Hr Ady Endre,﻿Ady Endre,﻿Ady Endre,,﻿Addy Endre,﻿Ady Endre,﻿De heer Ady Endre,﻿Ady Endre,﻿Ady Endre,﻿Dl Ady Endre,﻿Ady Endre
AjuntamentGirona,de,﻿AjuntamentGirona,﻿Ajuntacerona,,﻿Auntamenti Girona,﻿AjuntamentGirona,﻿Ayuntamiento de Girona,﻿AjuntamenGirona,﻿Ajuntamentana,﻿AjuntamentGirona,﻿AjuntamentGirona,﻿AjuntabmentGirona,﻿AjuntamentGirona,﻿AjuntamenGirona,﻿AjuntamentGirona,﻿AjuntamentGirona,﻿Atjuntementona,﻿AjuntamentGirona
sistemas de inteligencia,en,﻿Sististas de integencia,﻿Sistemas de inteligencia,﻿Sistemas de inligencia,﻿Sistemas de inteligencia,,﻿Sistemas de inteligencia,﻿Sistem de intigencia,﻿Sistemas de intligencia,﻿Sistemas de inteligencia,﻿a Sistemas de Inteligencia,﻿Sistemas de intelencia,﻿Sistemas de inligencia,﻿Sistemas de intelicencia,﻿Sisteardias de intesencia,﻿Sistemas de Teligencia,﻿Sistema de Interligoricia,﻿Sistemlas de intligencia
Freut euch des Lebens,de,﻿Dívá se na život,﻿Ser frem til livet,,﻿Προσβλέπει στη ζωή,﻿Looks forward to life,﻿Espera la vida,﻿Ootab elu,﻿Odottaa elämää,﻿Doutez de votre vie,﻿Várja az életét,﻿Prospettive per la vita,﻿Laukia asmeninio gyvenimo,﻿Kijkt uit naar het leven,﻿Oczekuje na życie,﻿Aguarda com expectativa a vida,﻿Așteaptă cu interes,﻿Ser fram emot livet
Hubert Aquin,fr,﻿Hubert Aquin,﻿Hubert Aquin,﻿Hubert Aquin,﻿Hubert Aquin,﻿Hubert Aquin,﻿Hubert Aquin,﻿Hubert Aquin,﻿Hubert Aquin,,﻿Hubert Aquin,﻿Hubert Aquin,﻿Hubert Aquin,﻿Hubert Aquin,﻿Hubert Aquin,﻿Hubert Aquin,﻿Hubert Aquin,﻿Hubert Aquin
abeilles,fr,﻿včely,﻿bier,﻿Bienen,﻿μέλισσες,﻿bees,﻿abejas,﻿mesilased,﻿mehiläiset,,﻿méhek,﻿api,﻿bitės,﻿bijen,﻿pszczoły,﻿abelhas,﻿albine,﻿bin
activity,en,﻿činnost,﻿aktivitet,﻿Tätigkeit,﻿δραστηριότητα,,﻿actividad,﻿tegevus,﻿toiminta,﻿activité,﻿tevékenység,﻿attività,﻿veikla,﻿activiteit,﻿działalność,﻿atividade,﻿activitate,﻿aktivitet
Madame Bovary de Gustave Flaubert,fr,﻿Pí Boary de Gustave Flaubert,﻿Boary de Gustave Flaubert,﻿Frau Bovary von Gustav Flaubert,﻿Κα Boary de Gustave Flaubert,﻿Ms Boary de Gustave Flaubert,﻿Sra. Boary de Gustave Flaubert,﻿Boary de Gustave Flubert,﻿Boary de Gustave Flaubert,,﻿Boary de Gustave Flaubert,﻿Sig.ra Boary de Gustave Flaubert,﻿Gustave de Gustave Flaubert,﻿Mevr. Boary de Gustave Flaubert,﻿Pani Boary de Gustave Flaubert,﻿Boy de Gustave Flaubert,﻿Dna Boary de Gustave Flaubert,﻿Boary de Gustave Faubert
Advanced materiales energy system,es,﻿Energetický systém vyspělých materiálů,﻿Energisystem for avancerede materialer,﻿Energiesystem für fortgeschrittene Werkstoffe,﻿Προηγμένο ενεργειακό σύστημα υλικών,﻿Advanced materials energy system,,﻿Arenenud materjalienergia süsteem,﻿Kehittynyt materiaalien energiajärjestelmä,﻿Système énergétique des matériaux avancés,﻿Fejlett anyagenergia-rendszer,﻿Sistema energetico per i materiali avanzati,﻿Pažangiųjų medžiagų energetikos sistema,﻿Geavanceerd energievoorzieningssysteem,﻿System energetyczny materiałów zaawansowanych,﻿Sistema de energia de materiais avançados,﻿Sistemul energetic al materialelor avansate,﻿Energisystem med avancerade material
nova lisboa,pt,﻿nová Lisabonská strategie,﻿ny Lissabon,﻿der neue Vertrag von Lissabon,﻿η νέα Συνθήκη της Λισαβόνας,﻿new Lisbon,﻿New Lisboa,﻿uus Lissaboni strateegia,﻿uusi Lissabon,﻿New Lisbon,﻿új Lisszabon,﻿New Lisbon,﻿nauja Lisabonos strategija,﻿nieuwe Lissabon,﻿nowy traktat lizboński,,﻿Lisabona (nouă),﻿den nya Lissabonstrategin
Africa,es,﻿Afričan,﻿Afrika,﻿Afrika,﻿ΑΦΡΙΚΗ,﻿African,,﻿Aafrika,﻿Afrikkalainen,﻿Afrique,﻿Afrikai,﻿Africana,﻿Afrikos,﻿Afrika,﻿African,﻿África,﻿African,﻿Afrikanska
abraham abendroth,de,﻿Abrahamův večer,﻿Abraham aften,,﻿Abramingham το βράδυ,﻿Abraham evening,﻿Abraham por la tarde,﻿Abrahami õhtu,﻿Abraham ilta,﻿Abraham du soir,﻿Abraham est,﻿Abraham sera,﻿Abrahamo vakaras,﻿Abraham avonds,﻿Wieczór Abrahama,﻿Noite Abraham,﻿Seara Abraham,﻿Abraham kväll
Columbus's voyage,en,﻿Přístav Columbus,﻿Columbus's rejse,﻿Columbus Fahrt,﻿Ταξίδι του Κολόμβου,,﻿Viaje de Columbus,﻿Columbus,﻿Columbuksen matka,﻿Voyage en Columbus,﻿Columbus útja,﻿Viaggio della Columbus,﻿Columbus kelionė,﻿Columbus,﻿Rejs Columbus,﻿Despesas de viagem da Columbus,﻿Voiaj cu Columb,﻿Columbus resa
modern art,en,﻿moderní umění,﻿moderne kunst,﻿moderne Kunst,﻿σύγχρονη τέχνη,,﻿arte moderno,﻿moodne kunst,﻿moderni art.,﻿art moderne,﻿modern művészet,﻿arte moderna,﻿šiuolaikinis menas,﻿moderne kunst,﻿sztuka współczesna,﻿arte moderna,﻿artă modernă,﻿modern konst
adrianople,en,﻿Odpadání,﻿adresse:,﻿Wirkstoff,﻿αδριανόλη,,﻿Adrianistas,﻿aadress,﻿dripanrinaalit,﻿adriersonnes,﻿felbuzg,﻿Adrianescent,﻿ADRIEKUOMENĖ,﻿menselijk,﻿adrianlist,﻿Adriananicano,﻿adrianz,﻿adrianon
Girl with the Pearl Earring,en,﻿Dívka s Pearl Earring,﻿Pige med Pearl Earring,﻿Mädchen mit der Pearl Earring,﻿Κορίτσι με το Pearl Earlies,,﻿Chica con Pearl Earring,﻿Tüdruk Pearl Earnringiga,"﻿Tyttö, jossa Pearl Early",﻿Fille avec Pearl Earring,﻿Lány a Gyöngy-korgyűrűvel,﻿Ragazza con la Pearl Earring,﻿Mergaitė su Pearl Earring,﻿Meisje met Pearl Earring,﻿Dziewczynka z pierścieniem ziemskim (Pearl Earring),﻿Rapariga de Pérolas,﻿Fată cu pătrarul Pearl Earring,﻿Flicka med Pearl Earring
Tito's imperial communism,pl,﻿Tita Imperial community,﻿Tito's Imperial community,﻿Tito (Imperial Community),﻿Αυτοκρατορική κοινότητα Tito,﻿Tito’s Imperial community,﻿Comunidad Imperial de Tito,﻿Tito Imperial’i kogukond,﻿Tito Imperial -yhteisö,﻿La communauté impérial de Tito,﻿Tokto Imperial közösség,﻿Tito imperiale,﻿„Tito Imperial community“,﻿De „Imperial community” van Tito,,"﻿Tito Imperial, comunidade do Tito",﻿Comunitatea imperială a Tito,﻿Imperi’s Imperial community
agricoltura,it,﻿zemědělství,﻿landbrug,﻿Landwirtschaft,﻿γεωργία,﻿agriculture,﻿agricultura,﻿põllumajandus,﻿maatalous,﻿agriculture,﻿mezőgazdaság,,﻿žemės ūkis,﻿landbouw,﻿rolnictwo,﻿agricultura,﻿agricultură,﻿jordbruk
amphora,en,﻿amphora...,﻿ampora...,﻿Amphoren...,﻿αμφοra...,,﻿Amforora...,﻿amfoora...,﻿amphora...,﻿amphore...,﻿amphora...,﻿Anfanora...,﻿amcorra...,﻿amfoor...,﻿popr.,﻿de ânfora...,﻿amora...,﻿Amkora...
acts of mercy,en,﻿pouto z milosti,﻿medlidenskabelige handlinger,﻿Gnadenakte,﻿ΠΡΑΞΕΙΣ έλεος,,﻿actos de misericordia,"﻿otsused, mis on seotud halastus@@",﻿armmansa,﻿actes de compassion,﻿kegyelmi cselekmények,﻿atti di trattamento,﻿malonūs veiksmai,﻿medeplichtige handelingen,﻿czynności zdawczo-odbiorcze,﻿atos de compaixão,﻿acte de eutanasiere,﻿barmhärtighetsaktereller
martinus monachus,nl,﻿Jeřáb Martinus monachus,﻿Martinus monachus,﻿Martius monachus,﻿Martinus monachus,﻿Martinus monachus,﻿Martinus monachus,﻿Martinus monachus,﻿Martinus monachus,﻿Martinus monachus,﻿Martinus monachus,﻿Martinus monachus,﻿Martinus monachus,,﻿Martinus monachus,﻿Martinus monachus,﻿Martinus monachus,﻿Martinus monachus
adres els meijns,nl,﻿ulice v ulici,﻿gadenavn,﻿Hausanschrift,﻿οδός και οδός,﻿street address els,﻿dirección de la calle,﻿Tänavateelahkd,﻿katuosoite,﻿rue des adresses des rues,﻿utca címe,﻿indirizzo postale,﻿gatvės adresas,,﻿adresy ulic,﻿rua,﻿difuzoare,﻿gatuadress
Der Welt Spiegel,en,﻿Der Welt Spiegel,﻿Der Welt Spiegel,﻿Der Weltspiegel,﻿Der Welt Spiegel,,﻿Der Welt Spiegel,﻿Der Welt Spiegel,﻿Der Welt Spiegel,﻿Der Welt Spiegel,﻿Der Welt Spiegel,﻿Der Welt Spiegel,﻿Der Welt Spiegel,﻿Der Weldt Spiegel,﻿Der Welt Spiegel,﻿Der Welt Spiegel,﻿Der Welt Spiegel,﻿Der Welt Spiegel
